Lemma	POS	MeaningNumber	LemmaID	MeaningID	DefinitionFull	DefinitionShort	model_prediction	bertscore_precision	bertscore_recall	bertscore_f1	comet22_score	cometkiwi_score	xcomet_score
1,5 metermaatschappij	substantief	1.0	909355	909359	maatschappij waarin mensen die niet tot hetzelfde huishouden behoren in de publieke ruimte een fysieke afstand van minimaal anderhalve meter tot elkaar moeten bewaren om verspreiding van een virus te voorkomen	maatschappij waarin fysieke afstand nodig is	maatschappij waarin mensen die niet tot hetzelfde huishouden behoren een fysieke afstand van minimaal anderhalve meter tot elkaar moeten bewaren om verspreiding van een besmettelijke ziekte te voorkomen	0.9413042664527893	0.9425516724586487	0.9419275522232056	0.9071404933929443	0.7514170408248901	0.9639530181884766
112-centrale	substantief	1.0	313	314	alarmcentrale die bereikbaar is onder het telefoonnummer 112	alarmcentrale	alarmcentrale die bereikbaar is onder het telefoonnummer 112	1.0	1.0	1.0	0.979387104511261	0.7264909744262695	0.9566165208816528
200 eurobiljet	substantief	1.0	495566	495570	bankbiljet dat de waarde van 200 euro vertegenwoordigt	biljet van 200 euro	bankbiljet met de waarde van 200 euro	0.9149803519248962	0.8149305582046509	0.8620622754096985	0.8925824761390686	0.6545038223266602	0.9460277557373047
3D-monitor	substantief	1.0	232019	232022	monitor die driedimensionaal beeld weergeeft	monitor met 3D-beeld	monitor waarop driedimensionale beelden worden weergegeven	0.8456329703330994	0.8548848032951355	0.8502336740493774	0.8264046311378479	0.8152452111244202	0.9528701305389404
45 kilometerwagen	substantief	1.0	871087	871098	motorvoertuig met de officiële status van een bromfiets en het voorkomen van een kleine auto, dat drie of vier wielen heeft en maximaal 45 km per uur rijdt	autootje met bromfietsstatus	auto met de officiële status van een bromfiets en het voorkomen van een kleine auto, die drie of vier wielen heeft en maximaal 45 km per uur rijdt	0.9793245196342468	0.9578789472579956	0.9684830904006958	0.8170323967933655	0.4090888202190399	0.9444196224212646
50PLUS	substantief	1.0	666319	666438	niet-ideologische Nederlandse politieke partij die zich richt op ouderen, in 2009 opgericht om 50-plussers meer te vertegenwoordigen in de Nederlandse politiek	Nederlandse politieke partij	Nederlandse politieke partij met een rechtse signatuur, in 2012 opgericht als afsplitsing van de voormalige politieke partij 50PLUS	0.7224018573760986	0.7028095722198486	0.712471067905426	0.7469912767410278	0.7614248394966125	0.526298999786377
à la	voegwoord	1.0	630248	630848	zoals (van) met een eigennaam, hetzij van een persoon, hetzij van een zaak, die als een lichtend of afschrikkend voorbeeld, als het prototype van iets wordt gezien met een soortnaam	zoals (van) met een eigennaam met een soortnaam	op de wijze van met een eigennaam met een soortnaam	0.7983493208885193	0.6726382970809937	0.7301221489906311	0.4620390832424164	0.43258926272392273	0.5902221202850342
à la	voegwoord	2.0	630248	630976	in enige uit het Franse ontleende vaste verbindingen	in uit het Franse ontleende verbindingen	in uit het Frans ontleende verbindingen waarvan de eerste lid een Frans woord is en de tweede lid een Nederlands woord	0.7337368726730347	0.8576490879058838	0.7908687591552734	0.4665583372116089	0.4428849220275879	0.5649203062057495
à la	voegwoord	1.1	630248	630250	met een eigennaam, hetzij van een persoon, hetzij van een zaak, die als een lichtend of afschrikkend voorbeeld, als het prototype van iets wordt gezien	met een eigennaam	(Frans, letterlijk 'op de wijze van') met een eigennaam	0.6895698308944702	0.6498522758483887	0.6691222190856934	0.3756934106349945	0.5333037972450256	0.40798696875572205
à trois	adjectief	1.0	632759	632761	(Frans) met z'n drieën	met z'n drieën	(Frans, letterlijk 'met drie') met z'n drieën	0.7830740213394165	0.905715823173523	0.8399417400360107	0.705498993396759	0.7055816054344177	0.8277554512023926
aal	substantief	A.1.0	550	553	lange, slangachtige vis met een slijmerige, gladde huid, kleine borstvinnen, een lange rugvin die de gehele staart omzoomt en tot de aarsvin reikt, kleine kieuwopeningen en een bovenkaak die korter is dan de onderkaak	paling aal als voedsel	zeer smaakvolle consumptievis met een stevige structuur en een zoete smaak	0.6599584221839905	0.6111198663711548	0.634600818157196	0.4438612163066864	0.45459333062171936	0.19843719899654388
