Lemma	POS	MeaningNumber	LemmaID	MeaningID	DefinitionFull	DefinitionShort
à bout portant	adjectief	2.0	631804	631805	op directe of ongegeneerde wijze;   op de man af;   direct op de persoon gericht;   recht voor z'n raap;   direct;   rechtstreeks;   onvervroren;   brutaalweg;   ongegeneerd met nadruk op het temporele aspect ook: plotseling;   direct;   per direct;   onmiddellijk	op de man af plotseling; onverwachts
aalglad	adjectief	4.0	558	229448	gelikt;   vloeiend;   soepel lopend;   goed in elkaar zittend;   soms ook: te gelikt en snel in elkaar gezet waardoor het oppervlakkig en expressieloos wordt	(te) gelikt; gemakkelijk
abdicatie	substantief	2.0	2116	2118	afstand van een leidende positie of een machtspositie, bijvoorbeeld door een toonaangevend individu, een gezagvoerder of gezagvoerend orgaan;   het vrijwiliig afstand doen van iets, vooral van verantwoordelijkheid of bepaalde rechten;   vervolgens figuurlijk ook: het niet optreden zoals redelijkerwijs verwacht mocht worden;   het verstek laten gaan;   het in gebreke blijven	afstand van een machtspositie; verzaking
abdiceren	werkwoord	2.0	450069	943091	afstand doen van iets anders dan de kroon, vooral van een leidende positie of een machtspositie;   vrijwillig afstand doen van iets, vooral van verantwoordelijkheid of bepaalde rechten;   vervolgens figuurlijk ook: niet optreden zoals redelijkerwijs verwacht mocht worden;   verstek laten gaan;   in gebreke blijven	afstand doen van een machtspositie; verzaken
abdiqueren	werkwoord	2.0	430764	943114	afstand doen van iets anders dan de kroon, vooral van een leidende positie of een machtspositie;   vrijwillig afstand doen van iets, vooral van verantwoordelijkheid of bepaalde rechten;   vervolgens figuurlijk ook: niet optreden zoals redelijkerwijs verwacht mocht worden;   verstek laten gaan;   in gebreke blijven	afstand doen van een machtspositie; verzaken
abstract	adjectief	A.2.0	2429	569779	gebruik makend van niet-concrete begrippen;  niet door concrete voorbeelden verhelderd of niet in concrete situaties gerealiseerd;  soms ook: moeilijk te begrijpen;  vaag	theoretisch
academisch	adjectief	1.0	2485	2486	soms ook: van, aan of met betrekking tot een universiteit, hogeschool of onderzoeksinstelling;  universitair;  wetenschappelijk; als aan een universiteit;  op universitair niveau;  theoretisch-wetenschappelijk	van, aan of met betrekking tot een universiteit
academisch onderwijs	verbinding	1.0	936314	937065	het gestructureerd aanleren van kennis, vaardigheden en attitudes aan studenten in wetenschappelijke opleidingen, ingericht door universiteiten en, bij uitbreiding, door hogescholen wanneer deze geaccrediteerde, academisch gerichte bachelors en masters of opleidingen in associatie met universiteiten aanbieden;  concreet ook: geheel van colleges, werkcolleges, practica e.d. waardoor studenten in universitaire opleidingen en bepaalde hogeschoolopleidingen hun kennis, vaardigheden en attitudes ontwikkelen	wetenschappelijk onderricht van universiteiten en hogescholen
achtergrondstudie	substantief	1.0	2769	2770	studie naar de achtergrond of achtergronden van iets;  studie waarin dieper wordt ingegaan op het ontstaan, de oorzaken, de redenen e.d. van iets;  concreet ook: dossier, rapport, verslag e.d. waarin de resultaten van die studie worden weergegeven	studie naar de achtergrond van iets
achtervoegsel	substantief	1.0	2984	2985	niet zelfstandig in de taal voorkomend element dat achter een grondwoord of de stam van een grondwoord geplaatst wordt en in combinatie daarmee een afleiding vormt;  suffix in ruimere zin ook: achterste deel van een woord ook als er taalkundig gezien geen sprake is van een afleiding	taalelement achter een grondwoord achterste deel van een woord
achtervoegsel	substantief	1.1	2984	501824	in ruimere zin ook: achterste deel van een woord ook als er taalkundig gezien geen sprake is van een afleiding	achterste deel van een woord
aderlaten	werkwoord	1.0	461629	947195	geneeskundig behandelen door een ader te openen en daaruit met gereedschap of bloedzuigers een hoeveelheid bloed af te tappen, ingezet als middel tegen uiteenlopende kwalen in de hedendaagse geneeskunde: bij patiënten met een speciale ziekte bloed afnemen, vooral om een uitzonderlijke hoeveelheid van ijzer of rode bloedcellen tot normale waarden terug te brengen;  in de geneeskunde van niet-westerse landen ook: bij patiënten bloed afnemen als therapie en radicaal middel bij het bestrijden van uiteenlopende kwalen	bloed aftappen (in de oude geneeskunde) bloed afnemen (in de huidige geneeskunde)
aderlaten	werkwoord	1.1	461629	947196	in de hedendaagse geneeskunde: bij patiënten met een speciale ziekte bloed afnemen, vooral om een uitzonderlijke hoeveelheid van ijzer of rode bloedcellen tot normale waarden terug te brengen;  in de geneeskunde van niet-westerse landen ook: bij patiënten bloed afnemen als therapie en radicaal middel bij het bestrijden van uiteenlopende kwalen	bloed afnemen (in de huidige geneeskunde)
adob	substantief	1.0	3501	3502	metonymisch ook: spoorwegovergang die beveiligd is met automatische dubbele overwegbomen	automatische dubbele overwegbomen
afgetobd	adjectief	1.0	440814	933361	van personen of hun geest: lichamelijk of geestelijk uitgeput;  door tobben, tegenslag, zorgen of hard werken geen energie of werkkracht meer hebbend;  uiterst vermoeid;  afgemat;  uitgeput;  van iemands uiterlijk of van lichaamsdelen ook: tonend, de indruk wekkend dat iemand lichamelijk of geestelijk uitgeput is	lichamelijk of geestelijk uitgeput
afwezigheidslijst	substantief	1.0	365113	488455	lijst waarop wordt aangetekend welke deelnemers aan vergaderingen of andere bijeenkomsten niet aanwezig zijn geweest;  in het bijzonder ook: lijst waarop wordt aangetekend welke leerlingen niet in de les aanwezig zijn geweest;  absentielijst	lijst van afwezigen
ahob	substantief	1.0	5475	5476	metonymisch ook: spoorwegovergang die beveiligd is met automatische halve overwegbomen	automatische halve overwegbomen
alarmkreet	substantief	1.0	5620	5621	kreet waarmee een persoon of een dier alarm slaat bij dreigend gevaar;  algemener en oneigenlijk ook: woorden waarmee iemand of een instantie waarschuwt voor een ongewenste situatie;  signaal dat door iets, zoals het lichaam, ter waarschuwing wordt afgegeven	kreet waarmee alarm geslagen wordt
alleenstaande	substantief	1.0	5965	5966	iemand die alleen leeft, zonder partner;  soms ook: iemand die zonder partner, maar met een kind of kinderen leeft	iemand die alleenstaand is
allesverzengend	adjectief	1.0	6097	6098	door schroeien, verschroeien ( zengen ) geheel aangetast, bedorven, beschadigd rakend;  door zengen totaal vernietigd wordend;  minder eigenlijk, zonder de bijgedachte aan vuur en gezegd van bijvoorbeeld de wind, ook: een totaal vernietigende uitwerking hebbend	door zengen geheel vernietigd wordend
allochtoon	adjectief	A.1.0	6120	595407	uit een ander, vaak niet-westers land, afkomstig; met ten minste één ouder die uit een ander, vaak niet-westers land, afkomstig is bestaande uit allochtonen;  gevormd door allochtonen;  met veel allochtonen;  soms ook: door en voor allochtonen	uit een ander land afkomstig bestaande uit allochtonen
allochtoon	adjectief	A.1.1	6120	636767	gevormd door allochtonen;  met veel allochtonen;  soms ook: door en voor allochtonen	bestaande uit allochtonen
als een gek	verbinding	1.0	951686	951790	in zeer hoge mate;  negatiever ook: in overdreven mate;  van werkwoorden als  studeren ,  werken ,  rennen  en  rijden : zeer hard	heel erg
amateurcarrière	substantief	1.0	302371	302523	carrière van iemand die zijn of haar sport uit liefhebberij beoefent;  carrière die een sportman of sportvrouw als amateur heeft gemaakt;  carrière als amateursporter;  soms ook: carrière van iemand die een vak of kunst uit liefhebberij beoefent;  amateurloopbaan	carrière van een amateur
amateurloopbaan	substantief	1.0	302370	302538	loopbaan van iemand die zijn of haar sport uit liefhebberij beoefent;  loopbaan die een sportman of sportvrouw als amateur heeft gemaakt;  loopbaan als amateursporter;  soms ook: loopbaan van iemand die een vak of kunst uit liefhebberij beoefent;  amateurcarrière	loopbaan van een amateur
Antilliaan	substantief	1.0	7791	7792	iemand die afkomstig is van de voormalige Nederlandse Antillen;  inwoner van de voormalige Nederlandse Antillen;  vaak ook: immigrant uit de voormalige Nederlandse Antillen die zich in Nederland heeft gevestigd	iemand uit de Antillen
Antilliaanse	substantief	1.0	7795	7796	vrouw die afkomstig is van de Nederlandse Antillen;  inwoonster van de Nederlandse Antillen;  vaak ook: immigrante uit de Nederlandse Antillen die zich in Nederland heeft gevestigd	vrouw uit de Antillen
artistiekeling	substantief	1.0	9433	9434	iemand die buitengewoon artistiek is;  kunstzinnig persoon;  in negatief of ironisch gebruik ook: iemand die zich overdreven artistiek voordoet	zeer artistiek persoon
artsenopleiding	substantief	1.0	9507	9508	medische academische studie voor arts;  meer specifiek ook: opleiding tot basisarts	artsenstudie
auditeur	substantief	1.0	10329	508548	iemand die voor zijn beroep bij een auditoraat of een auditoraat-generaal werkt;  lid van een auditoraat;  soms ook: auditeur-generaal iemand die voor zijn beroep werkt bij het auditoraat, het orgaan dat de Belgische Raad van State bijstaat iemand die voor zijn beroep bij het auditoraat van een arbeidsrechtbank werkt;  lid van een arbeidsauditoraat iemand die voor zijn beroep de openbare aanklager bij een Belgische militaire rechtbank is;  krijgsauditeur-generaal	lid van een auditoraat auditeur bij de Raad van State auditeur bij een arbeidsauditoraat krijgsauditeur
baaldag	substantief	1.0	11603	11604	dag waarop iemand zich neerslachtig, chagrijnig en futloos voelt en geen zin heeft in de dagelijkse routine;  specifieker ook: dag waarop iemand vrij neemt omdat hij baalt en geen zin heeft om te werken of naar school te gaan	dag waarop iemand baalt
baccalaureus	substantief	1.0	11845	11846	In Nederland, vóór de invoering van de bachelor-masterstructuur in 2002: iemand die het baccalaureaat heeft verkregen na een vierjarige hbo-opleiding, bv. in richtingen als bestuurskunde, economie, juridische dienstverlening en lerarenopleiding;  tot 1981 ook: iemand die een vijfjarige universitaire studie na vier jaar verkort afsluit;  in België ook nog wel in toepassing op iemand die een eerste cyclus heeft voltooid van een studie theologie of filosofie titel van baccalaureus	iemand die een baccalaureaat heeft
bachelor	substantief	3.0	11857	661490	titel of graad van bachelor, toegekend na het voltooien van een opleiding van de eerste cyclus van het hoger onderwijs;  concreet ook: diploma dat deze graad bevestigt	titel of graad van bachelor
baldakijn	substantief	1.0	12236	12237	scherm van een vaak kostbaar weefsel dat vooral als waardigheidsteken en ornament wordt aangebracht boven een altaar, troon of ceremonieplaats, of in stoeten en processies als draagbare overkapping wordt omhooggehouden boven belangrijke personen en ceremoniële voorwerpen bij vergelijking vervolgens ook: beschuttende overkapping uit beeldhouwwerk of houtsnijwerk, als waardigheidsteken en ornament aangebracht boven de zitplaats van belangrijke personen, of, soms in de vorm van een versierd torentje, boven beelden van hoogwaardigheidsbekleders, heiligen e.d.	overkapping als waardigheidsteken als beeldhouwwerk e.d.
baldakijn	substantief	1.1	12236	12241	bij vergelijking vervolgens ook: beschuttende overkapping uit beeldhouwwerk of houtsnijwerk, als waardigheidsteken en ornament aangebracht boven de zitplaats van belangrijke personen, of, soms in de vorm van een versierd torentje, boven beelden van hoogwaardigheidsbekleders, heiligen e.d.	als beeldhouwwerk e.d.
