Lemma	POS	MeaningNumber	LemmaID	MeaningID	DefinitionFull	DefinitionShort
ad limina	bijwoord substantief	1.0	363304	363307	(Latijn, letterlijk 'naar de drempels', waarmee de graven van Paulus en Petrus in Rome zijn bedoeld) naar Rome (waar de paus zetelt); aan Rome bezoek aan Rome dat eens in de vijf jaren door de bisschoppen afgelegd moet worden om aan de paus verslag te doen van hetgeen zich in hun bisdom en in de kerkprovincie heeft afgespeeld (en om de graven van de apostelen Paulus en Petrus te bezoeken); ook: verplichting om eens in de vijf jaar de paus te bezoeken om verslag uit te brengen van wat zich in de kerkprovincie heeft afgespeeld	naar Rome verplicht bezoek van bisschoppen aan Rome
ad limina apostolorum	bijwoord substantief	1.0	363305	363325	(Latijn, letterlijk 'naar de drempels van de apostelen', waarmee de graven van de apostelen Paulus en Petrus in Rome zijn bedoeld) naar Rome (waar de paus zetelt en waar de apostelen Paulus en Petrus begraven liggen); aan Rome bezoek aan Rome dat eens in de vijf jaren door de bisschoppen afgelegd moet worden om aan de paus verslag te doen van hetgeen zich in hun bisdom en in de kerkprovincie heeft afgespeeld (en om de graven van de apostelen Paulus en Petrus te bezoeken); ook: verplichting om eens in de vijf jaar de paus te bezoeken om verslag uit te brengen van wat zich in de kerkprovincie heeft afgespeeld	naar Rome verplicht bezoek van bisschoppen aan Rome
akkoord	adjectief tussenwerpsel	3.0	5570	576794	goedgekeurd kunnende worden; in orde; oké; goed tussenwerpsel ter instemming; prima; goed; mee eens; in orde	goedgekeurd kunnende worden prima
amen	tussenwerpsel substantief	1.0	6755	6756	slotformulering van gebeden, preken en dankzeggingen die de bevestiging uitdrukt van wat men heeft gezegd of de instemming met wat men heeft gehoord; waarlijk; dat zij zo het woord  amen	waarlijk; dat zij zo
antropomorf	adjectief substantief	4.0	8026	8030	gegraven naar de vorm van het lichaam graf naar de vorm van het menselijk lichaam	naar de vorm van het lichaam graf naar de vorm van het lichaam
cum laude	bijwoord substantief	1.0	467718	664149	"(Latijn) met lof, gebruikt als eervolle vermelding bij het afronden van een studie of promotie eervolle vermelding ""met lof"" bij het afronden van een studie of promotie"	met lof eervolle vermelding
double Dutch	substantief bijwoord	3.0	923909	923912	extra veilige seks waarbij zowel de anticonceptiepil wordt geslikt als een condoom wordt gebruikt beschermd tegen seksueel overdraagbare aandoeningen en dubbel beveiligd tegen zwangerschap dankzij het gelijktijdige gebruik van pil en condoom; extra veilig door gebruik van pil en condoom	veilige seks dankzij pil en condoom veilig dankzij gebruik van pil en condoom
extravert	adjectief adjectief adjectief substantief	1.0	49627	49628	met een persoonlijkheid die in hoofdzaak op de buitenwereld gericht is van of als van een extravert iemand gericht op directe communicatie met het publiek, zonder verinnerlijking, en vaak ook gepaard gaand met effectbejag iemand die extravert is	op de buitenwereld gericht op het publiek gericht
largo	bijwoord substantief	1.0	88233	88234	zeer langzaam en gedragen muziekstuk of gedeelte binnen een muziekstuk dat zeer langzaam en gedragen gespeeld wordt	langzaam (deel van) muziekstuk
Leeuwards	substantief adjectief	2.0	541369	541392	variëteit van het Fries die in Leeuwarden en andere steden van Friesland gesproken wordt; Fries dialect dat in Leeuwarden en andere Friese steden gesproken wordt; Stadsfries van het Stadsfries; in het Stadsfries; uit het Stadsfries; behorend tot het Stadsfries	dialect van Leeuwarden; Stadsfries van, in, uit het Stadsfries e.d.
magna cum laude	bijwoord substantief	1.0	664155	664180	(Latijn) met hoge lof, met grote lof, gebruikt als eervolle vermelding bij het afronden van een studie of promotie eervolle vermelding 'met grote lof' bij het afronden van een studie of promotie	met grote lof eervolle vermelding 'met grote lof'
mahjong	substantief tussenwerpsel	2.0	94243	94245	geheel van vijf combinaties van stenen waarmee een speler het mahjongspel winnend beëindigt woord waarmee een speler meldt dat hij mahjong heeft	eindcombinatie in het mahjong uitroep bij het maken van een mahjong
maxima cum laude	bijwoord substantief	1.0	664153	664154	(Latijn) met de hoogste lof, gebruikt als eervolle vermelding bij het afronden van een studie of promotie; met de grootste onderscheiding eervolle vermelding 'met de hoogste lof' bij het afronden van een studie of promotie	met de hoogste lof eervolle vermelding 'met de hoogste lof'
mica	substantief adjectief	1.0	98663	98664	glasachtig mineraal met metaalachtige glans dat makkelijk te splijten is en tegen zeer hoge temperatuur bestand is gemaakt van mica	glasachtig mineraal
