Lemma	POS	MeaningNumber	LemmaID	MeaningID	DefinitionFull	DefinitionShort	model_prediction	bertscore_precision	bertscore_recall	bertscore_f1	comet22_score	cometkiwi_score	xcomet_score
1,5 metermaatschappij	substantief	1.0	909355	909359	maatschappij waarin mensen die niet tot hetzelfde huishouden behoren in de publieke ruimte een fysieke afstand van minimaal anderhalve meter tot elkaar moeten bewaren om verspreiding van een virus te voorkomen	maatschappij waarin fysieke afstand nodig is	maatschappij waarin mensen fysieke afstand moeten houden van elkaar	0.8706667423248291	0.7211295366287231	0.7888742089271545	0.6106274127960205	0.6089318990707397	0.8520457744598389
112-centrale	substantief	1.0	313	314	alarmcentrale die bereikbaar is onder het telefoonnummer 112	alarmcentrale	centrale waar iemand kan alarmeren bij een calamiteit	0.6767079830169678	0.6438007950782776	0.6598443984985352	0.6631534695625305	0.7411627173423767	0.7577248811721802
200 eurobiljet	substantief	1.0	495566	495570	bankbiljet dat de waarde van 200 euro vertegenwoordigt	biljet van 200 euro	bankbiljet met een waarde van 200 euro	0.9061757326126099	0.8106427192687988	0.8557512164115906	0.8747630715370178	0.6617517471313477	0.9616146087646484
3D-monitor	substantief	1.0	232019	232022	monitor die driedimensionaal beeld weergeeft	monitor met 3D-beeld	monitor waarop 3D-beeld wordt weergegeven	0.802282989025116	0.7640091180801392	0.7826784253120422	0.7741802930831909	0.7952306270599365	0.9625462293624878
45 kilometerwagen	substantief	1.0	871087	871098	motorvoertuig met de officiële status van een bromfiets en het voorkomen van een kleine auto, dat drie of vier wielen heeft en maximaal 45 km per uur rijdt	autootje met bromfietsstatus	autootje met een maximumsnelheid van 45 kilometer per uur	0.7744113206863403	0.6859130859375	0.7274805903434753	0.5382558703422546	0.4564206898212433	0.6730015277862549
50PLUS	substantief	1.0	666319	666438	niet-ideologische Nederlandse politieke partij die zich richt op ouderen, in 2009 opgericht om 50-plussers meer te vertegenwoordigen in de Nederlandse politiek	Nederlandse politieke partij	Nederlandse politieke partij met de naam 50PLUS	0.7301355600357056	0.6348211765289307	0.6791504621505737	0.626711905002594	0.7090912461280823	0.4041273593902588
à la	voegwoord	1.0	630248	630848	zoals (van) met een eigennaam, hetzij van een persoon, hetzij van een zaak, die als een lichtend of afschrikkend voorbeeld, als het prototype van iets wordt gezien met een soortnaam	zoals (van) met een eigennaam met een soortnaam	zoals (van) met een eigennaam met een soortnaam	0.8982993364334106	0.7037738561630249	0.7892268300056458	0.5004121661186218	0.4261403977870941	0.8023626804351807
à la	voegwoord	2.0	630248	630976	in enige uit het Franse ontleende vaste verbindingen	in uit het Franse ontleende verbindingen	in uit het Franse ontleende verbindingen	0.9499412178993225	0.9183955192565918	0.9339020848274231	0.7255731225013733	0.40994471311569214	0.7385303974151611
à la	voegwoord	1.1	630248	630250	met een eigennaam, hetzij van een persoon, hetzij van een zaak, die als een lichtend of afschrikkend voorbeeld, als het prototype van iets wordt gezien	met een eigennaam	met een eigennaam	0.885024905204773	0.6464956998825073	0.747185230255127	0.4494268596172333	0.5017459988594055	0.45150473713874817
à trois	adjectief	1.0	632759	632761	(Frans) met z'n drieën	met z'n drieën	met z'n drieën	0.9321845173835754	0.8431788682937622	0.885450541973114	0.9023963809013367	0.7353686690330505	0.8293166160583496
aal	substantief	A.1.0	550	553	lange, slangachtige vis met een slijmerige, gladde huid, kleine borstvinnen, een lange rugvin die de gehele staart omzoomt en tot de aarsvin reikt, kleine kieuwopeningen en een bovenkaak die korter is dan de onderkaak	paling aal als voedsel	paling aal als voedsel paling als gerecht	0.6144194602966309	0.5452221632003784	0.5777562856674194	0.1975618302822113	0.4218685030937195	0.2620326280593872
aal	substantief	B.1.0	550	554	katholieke geestelijke die verbonden is aan een legerafdeling en die belast is met pastoraal werk en begeleiding en ondersteuning van militairen	aalmoezenier	iemand die zich voor zijn beroep bezighoudt met het vangen van aalmoezen	0.6869087815284729	0.67396479845047	0.6803752183914185	0.48378607630729675	0.49098676443099976	0.2670542895793915
aal	substantief	C.1.0	550	485623	vloeibare mest	mestvocht	vocht van de mest van een aal	0.7005901336669922	0.6862602233886719	0.693351149559021	0.4929095506668091	0.5381708145141602	0.7509558200836182
aal	substantief	A.1.1	550	555	door de mens als voedsel geconsumeerde aal	aal als voedsel	aal als voedsel	0.8644214272499084	0.7463799118995667	0.8010755181312561	0.6179094910621643	0.6014012694358826	0.7998929619789124
aalglad	adjectief	1.0	558	229438	kaal met zeer weinig weerstand, waardoor je kunt uitglijden	zonder enige hobbel of rimpel erg glibberig	zonder enige hobbel of rimpel erg glibberig	0.6506858468055725	0.6632606387138367	0.6569131016731262	0.5326889157295227	0.6347073316574097	0.6975470781326294
aalglad	adjectief	2.0	558	559	niet te verslaan	supersnel	snel als een aal	0.6611614227294922	0.6778541207313538	0.6694037318229675	0.39442411065101624	0.5934789180755615	0.7514277696609497
aalglad	adjectief	3.0	558	229439	communicatief zeer sterk	niet te vangen	niet te vangen	0.7033924460411072	0.686639130115509	0.6949148178100586	0.3823466897010803	0.44575804471969604	0.6380388736724854
aalglad	adjectief	4.0	558	229448	goed in elkaar zittend	(te) gelikt	(te) glad	0.6824305653572083	0.6713047623634338	0.6768219470977783	0.357515424489975	0.49595358967781067	0.5673467516899109
aalglad	adjectief	1.1	558	232192	met zeer weinig weerstand, waardoor je kunt uitglijden	erg glibberig	zeer glibberig	0.7368435263633728	0.6969220638275146	0.7163269519805908	0.48765629529953003	0.6280597448348999	0.7662307024002075
Aalstenaar	substantief	1.0	576	577	inwoner van de stad Aalst iemand die lid of aanhanger is van een sportclub, vereniging of andere groep uit Aalst	iemand uit Aalst lid e.d. van een club uit Aalst	iemand die afkomstig is uit Aalst iemand die lid of aanhanger is van een sportclub, vereniging of andere groep uit Aalst	0.9367370009422302	0.9100180268287659	0.9231842160224915	0.8917492628097534	0.7757678031921387	0.9735634326934814
Aalstenaar	substantief	1.1	576	530830	iemand die lid of aanhanger is van een sportclub, vereniging of andere groep uit Aalst	lid e.d. van een club uit Aalst	iemand die lid of aanhanger is van een sportclub, vereniging of andere groep uit Aalst	1.0	1.0	1.0	0.9699190258979797	0.7790039777755737	0.9757180213928223
aanbiddingszanger	substantief	1.0	493255	493257	zanger die religieuze, meestal christelijke, liederen zingt	zanger van religieuze liederen	iemand die voor zijn beroep of uit liefhebberij religieuze liederen zingt	0.7487371563911438	0.8143282532691956	0.7801565527915955	0.7767071723937988	0.8175021409988403	0.9573768377304077
aanblijfpremie	substantief	1.0	232086	232087	premie die uitgeloofd wordt als iemand aanblijft in een bepaalde functie, meestal een belangrijke functie	premie voor een functionaris die aanblijft	premie die wordt uitgekeerd aan een functionaris die aanblijft in een bepaalde functie	0.8592641353607178	0.8516062498092651	0.8554180860519409	0.9039337038993835	0.8245601654052734	0.9720391035079956
aandachtsboog	substantief	1.0	232103	232107	mate waarin of tijd gedurende welke iemand geconcentreerd blijft of zijn aandacht ergens bij kan houden, bijvoorbeeld om te lezen, luisteren, studeren, etc.	mate waarin iemand geconcentreerd blijft	mate waarin iemand geconcentreerd blijft op iets	0.8245532512664795	0.6642521619796753	0.7357727885246277	0.7286219000816345	0.6907491683959961	0.9176498651504517
