Lemma	POS	MeaningNumber	LemmaID	MeaningID	DefinitionFull	DefinitionShort	model_prediction	model_long_definition	bertscore_precision	bertscore_recall	bertscore_f1	comet22_score	cometkiwi_score	xcomet_score
1,5 metermaatschappij	substantief	1.0	909355	909359	maatschappij waarin mensen die niet tot hetzelfde huishouden behoren in de publieke ruimte een fysieke afstand van minimaal anderhalve meter tot elkaar moeten bewaren om verspreiding van een virus te voorkomen	maatschappij waarin fysieke afstand nodig is	Lange definitie: samenleving waarin mensen die niet tot hetzelfde huishouden behoren in de publieke ruimte een fysieke afstand van minimaal anderhalve meter tot elkaar moeten bewaren om verspreiding van een virus te voorkomen	samenleving waarin mensen die niet tot hetzelfde huishouden behoren in de publieke ruimte een fysieke afstand van minimaal anderhalve meter tot elkaar moeten bewaren om verspreiding van een virus te voorkomen	0.9815398454666138	0.9869204759597778	0.9842228293418884	0.9269945025444031	0.7938218712806702	0.992885947227478
112-centrale	substantief	1.0	313	314	alarmcentrale die bereikbaar is onder het telefoonnummer 112	alarmcentrale	die bereikbaar is onder het telefoonnummer 112	die bereikbaar is onder het telefoonnummer 112	0.9418047666549683	0.8659423589706421	0.9022818207740784	0.892942488193512	0.5968354940414429	1.0
200 eurobiljet	substantief	1.0	495566	495570	bankbiljet dat de waarde van 200 euro vertegenwoordigt	biljet van 200 euro	bankbiljet dat de waarde van 200 euro vertegenwoordigt	bankbiljet dat de waarde van 200 euro vertegenwoordigt	0.9999998807907104	0.9999998807907104	0.9999998807907104	0.9756268262863159	0.7395591735839844	0.9959158897399902
3D-monitor	substantief	1.0	232019	232022	monitor die driedimensionaal beeld weergeeft	monitor met 3D-beeld	Een 3D-monitor is een beeldscherm dat een driedimensionaal beeld weergeeft.	Een 3D-monitor is een beeldscherm dat een driedimensionaal beeld weergeeft.	0.7802861928939819	0.8665136098861694	0.8211424946784973	0.7755935192108154	0.8400691151618958	1.0
45 kilometerwagen	substantief	1.0	871087	871098	motorvoertuig met de officiële status van een bromfiets en het voorkomen van een kleine auto, dat drie of vier wielen heeft en maximaal 45 km per uur rijdt	autootje met bromfietsstatus	Lange definitie: motorvoertuig met de officiële status van een bromfiets en het voorkomen van een kleine auto, dat drie of vier wielen heeft en maximaal 45 km per uur rijdt	motorvoertuig met de officiële status van een bromfiets en het voorkomen van een kleine auto, dat drie of vier wielen heeft en maximaal 45 km per uur rijdt	1.0	1.0	1.0	0.9122689962387085	0.42997366189956665	0.9865237474441528
50PLUS	substantief	1.0	666319	666438	niet-ideologische Nederlandse politieke partij die zich richt op ouderen, in 2009 opgericht om 50-plussers meer te vertegenwoordigen in de Nederlandse politiek	Nederlandse politieke partij	Lange definitie: 50PLUS, Nederlandse politieke partij met een sociaaldemocratische signatuur, in 2015 opgericht om meer aandacht te vestigen op ouderen	50PLUS, Nederlandse politieke partij met een sociaaldemocratische signatuur, in 2015 opgericht om meer aandacht te vestigen op ouderen	0.7547807693481445	0.7666269540786743	0.7606577277183533	0.8567849397659302	0.800189197063446	0.609008252620697
à la	voegwoord	1.0	630248	630848	zoals (van) met een eigennaam, hetzij van een persoon, hetzij van een zaak, die als een lichtend of afschrikkend voorbeeld, als het prototype van iets wordt gezien met een soortnaam	zoals (van) met een eigennaam met een soortnaam	Lange definitie: 'à la' betekent 'zoals' of 'in de stijl van'.	'à la' betekent 'zoals' of 'in de stijl van'.	0.6451467275619507	0.6093165874481201	0.6267199516296387	0.3662949502468109	0.39277946949005127	0.2827765643596649
à la	voegwoord	2.0	630248	630976	in enige uit het Franse ontleende vaste verbindingen	in uit het Franse ontleende verbindingen	Lange definitie: 'à la' betekent 'naar' of 'in de stijl van'.	'à la' betekent 'naar' of 'in de stijl van'.	0.5980371832847595	0.6300322413444519	0.6136179566383362	0.303090900182724	0.31150516867637634	0.43268388509750366
à la	voegwoord	1.1	630248	630250	met een eigennaam, hetzij van een persoon, hetzij van een zaak, die als een lichtend of afschrikkend voorbeeld, als het prototype van iets wordt gezien	met een eigennaam	Lange definitie:'met een eigennaam' betekent'met eigen naam' of 'op eigen naam'.	Lange definitie:'met een eigennaam' betekent'met eigen naam' of 'op eigen naam'.	0.6684266328811646	0.6361504793167114	0.6518892645835876	0.4035675823688507	0.42004862427711487	0.5399636030197144
à trois	adjectief	1.0	632759	632761	(Frans) met z'n drieën	met z'n drieën	'à trois' betekent'met z'n drieën'.	'à trois' betekent'met z'n drieën'.	0.7290216088294983	0.7818565964698792	0.7545152902603149	0.7003399133682251	0.5911493301391602	0.7644909024238586
