Lemma	POS	MeaningNumber	LemmaID	MeaningID	DefinitionFull	DefinitionShort	model_prediction	model_long_definition	bertscore_precision	bertscore_recall	bertscore_f1	comet22_score	cometkiwi_score	xcomet_score
1,5 metermaatschappij	substantief	1.0	909355	909359	maatschappij waarin mensen die niet tot hetzelfde huishouden behoren in de publieke ruimte een fysieke afstand van minimaal anderhalve meter tot elkaar moeten bewaren om verspreiding van een virus te voorkomen	maatschappij waarin fysieke afstand nodig is	1,5 metermaatschappij: maatschappij waarin mensen die niet tot hetzelfde huishouden behoren in de publieke ruimte een fysieke afstand van minimaal anderhalve meter tot elkaar moeten bewaren om verspreiding van een virus te voorkomen, een maatregel die is ingevoerd om de verspreiding van infectieziekten, zoals COVID-19, te beperken en de volksgezondheid te beschermen.	1,5 metermaatschappij: maatschappij waarin mensen die niet tot hetzelfde huishouden behoren in de publieke ruimte een fysieke afstand van minimaal anderhalve meter tot elkaar moeten bewaren om verspreiding van een virus te voorkomen, een maatregel die is ingevoerd om de verspreiding van infectieziekten, zoals COVID-19, te beperken en de volksgezondheid te beschermen.	0.7856269478797913	0.9379392266273499	0.8550531268119812	0.762823760509491	0.566697359085083	0.6055799126625061
112-centrale	substantief	1.0	313	314	alarmcentrale die bereikbaar is onder het telefoonnummer 112	alarmcentrale	112-centrale: alarmcentrale die bereikbaar is onder het telefoonnummer 112, waar burgers 24 uur per dag en 7 dagen per week terecht kunnen voor het melden van dringende noodgevallen, zoals ongevallen, misdrijven, medische noodsituaties, en andere situaties die onmiddellijke hulp vereisen. Deze centrale coördineert de hulpverlening en zorgt ervoor dat de juiste hulpdiensten, zoals politie, brandweer en ambulance, worden ingeschakeld.	112-centrale: alarmcentrale die bereikbaar is onder het telefoonnummer 112, waar burgers 24 uur per dag en 7 dagen per week terecht kunnen voor het melden van dringende noodgevallen, zoals ongevallen, misdrijven, medische noodsituaties, en andere situaties die onmiddellijke hulp vereisen. Deze centrale coördineert de hulpverlening en zorgt ervoor dat de juiste hulpdiensten, zoals politie, brandweer en ambulance, worden ingeschakeld.	0.6222409605979919	0.8361613750457764	0.7135120630264282	0.7523338198661804	0.8079870343208313	0.8580607175827026
200 eurobiljet	substantief	1.0	495566	495570	bankbiljet dat de waarde van 200 euro vertegenwoordigt	biljet van 200 euro	Bankbiljet dat de waarde van 200 euro vertegenwoordigt.	Bankbiljet dat de waarde van 200 euro vertegenwoordigt.	0.9317502379417419	0.9406623840332031	0.9361850619316101	0.9538478255271912	0.7436343431472778	0.9828335046768188
3D-monitor	substantief	1.0	232019	232022	monitor die driedimensionaal beeld weergeeft	monitor met 3D-beeld	3D-monitor: apparaat dat een driedimensionaal beeld weergeeft op een tweedimensionaal scherm, waardoor gebruikers een gevoel van diepte en ruimtelijkheid ervaren zonder fysiek een driedimensionale omgeving te betreden.	3D-monitor: apparaat dat een driedimensionaal beeld weergeeft op een tweedimensionaal scherm, waardoor gebruikers een gevoel van diepte en ruimtelijkheid ervaren zonder fysiek een driedimensionale omgeving te betreden.	0.6943191289901733	0.8441449999809265	0.7619365453720093	0.6935055255889893	0.8169785737991333	0.9639697074890137
45 kilometerwagen	substantief	1.0	871087	871098	motorvoertuig met de officiële status van een bromfiets en het voorkomen van een kleine auto, dat drie of vier wielen heeft en maximaal 45 km per uur rijdt	autootje met bromfietsstatus	autootje met bromfietsstatus: een motorvoertuig met de officiële status van een bromfiets en het voorkomen van een kleine auto, dat drie of vier wielen heeft en maximaal 45 km per uur rijdt, vaak gebruikt voor korte afstanden binnen stedelijke gebieden of voor recreatieve doeleinden, met beperkte snelheden en specifieke verkeersregels die gelden voor bromfietsen.	autootje met bromfietsstatus: een motorvoertuig met de officiële status van een bromfiets en het voorkomen van een kleine auto, dat drie of vier wielen heeft en maximaal 45 km per uur rijdt, vaak gebruikt voor korte afstanden binnen stedelijke gebieden of voor recreatieve doeleinden, met beperkte snelheden en specifieke verkeersregels die gelden voor bromfietsen.	0.7696607112884521	0.9289994835853577	0.8418568968772888	0.7540371417999268	0.512423574924469	0.8652693033218384
50PLUS	substantief	1.0	666319	666438	niet-ideologische Nederlandse politieke partij die zich richt op ouderen, in 2009 opgericht om 50-plussers meer te vertegenwoordigen in de Nederlandse politiek	Nederlandse politieke partij	50PLUS is een Nederlandse politieke partij die zich richt op de belangen van 50-plussers in de samenleving. De partij is opgericht in 2012 en streeft naar een beleid dat rekening houdt met de specifieke uitdagingen en behoeften van ouderen, zoals pensioenhervormingen, gezondheidszorg en sociale zekerheid.	50PLUS is een Nederlandse politieke partij die zich richt op de belangen van 50-plussers in de samenleving. De partij is opgericht in 2012 en streeft naar een beleid dat rekening houdt met de specifieke uitdagingen en behoeften van ouderen, zoals pensioenhervormingen, gezondheidszorg en sociale zekerheid.	0.6802951097488403	0.7590506672859192	0.7175182700157166	0.8082308173179626	0.822007954120636	0.7047281861305237
à la	voegwoord	1.0	630248	630848	zoals (van) met een eigennaam, hetzij van een persoon, hetzij van een zaak, die als een lichtend of afschrikkend voorbeeld, als het prototype van iets wordt gezien met een soortnaam	zoals (van) met een eigennaam met een soortnaam	"à la:
zoals (van) met een eigennaam met een soortnaam, waarbij de nadruk ligt op een specifieke bereidingswijze of stijl van een gerecht of activiteit, vaak gebruikt om aan te geven dat iets op een bepaalde, unieke manier wordt bereid of uitgevoerd."	"à la:
zoals (van) met een eigennaam met een soortnaam, waarbij de nadruk ligt op een specifieke bereidingswijze of stijl van een gerecht of activiteit, vaak gebruikt om aan te geven dat iets op een bepaalde, unieke manier wordt bereid of uitgevoerd."	0.6967935562133789	0.723283052444458	0.7097912430763245	0.6191087961196899	0.4741842746734619	0.5766252279281616
à la	voegwoord	2.0	630248	630976	in enige uit het Franse ontleende vaste verbindingen	in uit het Franse ontleende verbindingen	"à la:
In uit het Franse ontleende verbindingen waarbij een gerecht of activiteit wordt uitgevoerd op een wijze die geïnspireerd is door de Franse keuken of culinaire tradities, vaak met een persoonlijke draai of interpretatie die afwijkt van de traditionele bereidingswijze."	"à la:
In uit het Franse ontleende verbindingen waarbij een gerecht of activiteit wordt uitgevoerd op een wijze die geïnspireerd is door de Franse keuken of culinaire tradities, vaak met een persoonlijke draai of interpretatie die afwijkt van de traditionele bereidingswijze."	0.6295348405838013	0.8117210268974304	0.7091130614280701	0.36617377400398254	0.4928235709667206	0.26798877120018005
à la	voegwoord	1.1	630248	630250	met een eigennaam, hetzij van een persoon, hetzij van een zaak, die als een lichtend of afschrikkend voorbeeld, als het prototype van iets wordt gezien	met een eigennaam	"à la:
Korte definitie: met een eigennaam
Lange definitie: met een specifieke, persoonlijke of unieke naam, vaak gebruikt om een bepaalde stijl of methode van bereiding of uitvoering aan te duiden."	met een specifieke, persoonlijke of unieke naam, vaak gebruikt om een bepaalde stijl of methode van bereiding of uitvoering aan te duiden.	0.6709185838699341	0.6545498967170715	0.6626331210136414	0.6601133942604065	0.705496072769165	0.43393176794052124
à trois	adjectief	1.0	632759	632761	(Frans) met z'n drieën	met z'n drieën	"à trois, (Frans) met z'n drieën, is een uitdrukking die gebruikt wordt om aan te geven dat iets door drie personen wordt gedaan of ervaren. Het is een letterlijke vertaling van ""à trois"", wat letterlijk ""met z'n drieën"" betekent in het Nederlands."	"à trois, (Frans) met z'n drieën, is een uitdrukking die gebruikt wordt om aan te geven dat iets door drie personen wordt gedaan of ervaren. Het is een letterlijke vertaling van ""à trois"", wat letterlijk ""met z'n drieën"" betekent in het Nederlands."	0.6271629333496094	0.8120138645172119	0.7077170610427856	0.5151597261428833	0.7499694228172302	0.28148651123046875
