Lemma	POS	MeaningNumber	LemmaID	MeaningID	DefinitionFull	DefinitionShort	model_prediction	bertscore_precision	bertscore_recall	bertscore_f1	comet22_score	cometkiwi_score	xcomet_score
1,5 metermaatschappij	substantief	1.0	909355	909359	maatschappij waarin mensen die niet tot hetzelfde huishouden behoren in de publieke ruimte een fysieke afstand van minimaal anderhalve meter tot elkaar moeten bewaren om verspreiding van een virus te voorkomen	maatschappij waarin fysieke afstand nodig is	maatschappij waarin iedereen minimaal 1,5 meter van elkaar verwijderd moet zijn om de verspreiding van het coronavirus te voorkomen	0.8193857669830322	0.7627614736557007	0.7900603413581848	0.7198380827903748	0.6963468790054321	0.7932212352752686
112-centrale	substantief	1.0	313	314	alarmcentrale die bereikbaar is onder het telefoonnummer 112	alarmcentrale	centrale waarop de politie en de hulpdiensten zich kunnen melden wanneer er een noodsituatie ontstaat	0.6459396481513977	0.6436637043952942	0.6447996497154236	0.7061423063278198	0.6222119331359863	0.43265482783317566
200 eurobiljet	substantief	1.0	495566	495570	bankbiljet dat de waarde van 200 euro vertegenwoordigt	biljet van 200 euro	bankbiljet dat de waarde van 200 euro vertegenwoordigt	0.9999998807907104	0.9999998807907104	0.9999998807907104	0.9685463309288025	0.633919358253479	0.8926757574081421
3D-monitor	substantief	1.0	232019	232022	monitor die driedimensionaal beeld weergeeft	monitor met 3D-beeld	monitor die 3D-beelden weergeeft	0.8932633399963379	0.8495757579803467	0.8708719611167908	0.8200272917747498	0.7338860034942627	0.8285467624664307
45 kilometerwagen	substantief	1.0	871087	871098	motorvoertuig met de officiële status van een bromfiets en het voorkomen van een kleine auto, dat drie of vier wielen heeft en maximaal 45 km per uur rijdt	autootje met bromfietsstatus	autootje met de status van een bromfiets en een maximumsnelheid van 45 kilometer per uur	0.8422752618789673	0.7746804356575012	0.8070650100708008	0.6915618777275085	0.583628237247467	0.8767133355140686
50PLUS	substantief	1.0	666319	666438	niet-ideologische Nederlandse politieke partij die zich richt op ouderen, in 2009 opgericht om 50-plussers meer te vertegenwoordigen in de Nederlandse politiek	Nederlandse politieke partij	Nederlandse politieke partij met een sociaal-democratische signatuur	0.6922628879547119	0.6578890085220337	0.6746383905410767	0.6759387850761414	0.6235655546188354	0.29214388132095337
à la	voegwoord	1.0	630248	630848	zoals (van) met een eigennaam, hetzij van een persoon, hetzij van een zaak, die als een lichtend of afschrikkend voorbeeld, als het prototype van iets wordt gezien met een soortnaam	zoals (van) met een eigennaam met een soortnaam	(Frans) zoals (van) met een eigennaam met een soortnaam	0.8455966711044312	0.7021352052688599	0.7672170996665955	0.4777056872844696	0.44688892364501953	0.4501526653766632
à la	voegwoord	2.0	630248	630976	in enige uit het Franse ontleende vaste verbindingen	in uit het Franse ontleende verbindingen	in uit het Franse ontleende verbindingen, zoals à la, à la mode, à la mode	0.739894449710846	0.9004068374633789	0.8122971653938293	0.40098538994789124	0.37385424971580505	0.24022212624549866
à la	voegwoord	1.1	630248	630250	met een eigennaam, hetzij van een persoon, hetzij van een zaak, die als een lichtend of afschrikkend voorbeeld, als het prototype van iets wordt gezien	met een eigennaam	met een eigennaam of bijvoeglijk naamwoord	0.7761399149894714	0.6761530637741089	0.7227045893669128	0.49529340863227844	0.5585048794746399	0.39651715755462646
à trois	adjectief	1.0	632759	632761	(Frans) met z'n drieën	met z'n drieën	met twee mannen en één vrouw	0.7158322334289551	0.6892820596694946	0.70230633020401	0.46506059169769287	0.5820356011390686	0.3235835134983063
